WID,ISLAND,YR_DRILLED,INIT_HEAD,INIT_HEAD2,INIT_HEAD3,Temp_F,Temp_C,GROUND_EL,WELL_DEPTH
6-3619-001,Maui,2013,4.57,4.57,4.57,67.4,19.66666667,1352.93,1408
6-4600-004,Maui,2013,1.65,1.61,1.55,68.9,20.5,291.4,307.5
3-4059-001,Oahu,2012,18.74,18.74,18.52,69.98,21.1,469.63,520
6-4626-002,Maui,2012,1.12,,,73.5,23.05555556,118,133
2-5631-003,Kauai,2012,-207.4,956.31,956.96,69.4,20.77777778,1003.28,1245
6-5125-007,Maui,2012,3.3,3.3,3.3,77,25,270.4,301
6-4822-003,Maui,2012,3.85,4,3.9,69.8,21,1038.85,1078
6-4527-020,Maui,2012,2.65,2.65,2.92,73,22.77777778,11.41,60
8-7448-008,Hawaii,2012,4.54,4.54,4.54,,,387.54,409.6
2-1223-008,Kauai,2012,266.33,307,308,72.9,22.72222222,317,450
3-2811-005,Oahu,2012,40.1,27.55,23.26,73.4,23,255.1,400
2-5727-003,Kauai,2012,429.76,429.76,429.33,,,513.76,300
3-1901-008,Oahu,2011,2.1,,,78.9,26.05555556,24,33
2-1224-005,Kauai,2011,252,248,253,73.5,23.05555556,287,290
5-4753-001,Lanai,2011,493.2,,,80,26.66666667,1305,972
8-5748-002,Hawaii,2011,0.97,0.97,2.97,80,26.66666667,522.55,540.5
6-5429-003,Maui,2011,21.9,,,71,21.66666667,91,112
2-5727-002,Kauai,2011,431.34,431.34,431.39,77,25,508.04,300
2-0321-003,Kauai,2010,25,,,76,24.44444444,390,430
6-5131-002,Maui,2010,12.97,,,76,24.44444444,778,898
3-2157-005,Oahu,2010,13.47,,,73,22.77777778,10.5,1500
6-4730-003,Maui,2010,2,,,72.1,22.27777778,10.5,35
3-2007-004,Oahu,2010,4.5,,,69.8,21,24.6,336
8-6531-001,Hawaii,2010,31.9,,,69.6,20.88888889,1033,1200
3-2602-003,Oahu,2010,19.7,,,71,21.66666667,688,855
6-5639-004,Maui,2010,3.23,,,66.8,19.33333333,926,993
3-3755-011,Oahu,2009,18.77,,,69.8,21,9,157
8-0545-001,Hawaii,2009,10.64,,,81.4,27.44444444,2179,2250
3-1806-016,Oahu,2009,2,,,78,25.55555556,13,128
6-4702-002,Maui,2009,,,,68,20,305,336
6-4100-002,Maui,2009,,,,68,20,,280
6-5739-004,Maui,2009,5.79,,,69,20.55555556,912,952
6-5030-001,Maui,2009,8.83,,,71.6,22,654,733
6-5424-014,Maui,2009,2.14,,,71,21.66666667,11,27
6-5129-005,Maui,2009,3.3,,,73.7,23.16666667,184,217
4-0456-019,Molokai,2009,3.18,,,76,24.44444444,224,233
6-5424-015,Maui,2009,1.85,,,75,23.88888889,12,20
6-4818-001,Maui,2009,156.65,,,65.9,18.83333333,2393,2460
8-5545-002,Hawaii,2009,5.45,,,82,27.77777778,1277,1332
6-5027-001,Maui,2009,2.85,,,76.4,24.66666667,136,158
6-4728-010,Maui,2009,3.47,,,75.2,24,5.12,100
6-4728-008,Maui,2009,2.43,,2.8,77,25,4.7,106
6-4728-009,Maui,2009,3.42,,,77.1,25.05555556,4.6,102
6-5631-010,Maui,2008,5.46,,,67,19.44444444,1008,1054
8-4958-001,Hawaii,2008,0.1,,,71.9,22.16666667,47,63
8-3185-003,Hawaii,2008,8.5,,,69.8,21,,450
8-4656-002,Hawaii,2008,4.62,,,66,18.88888889,1340,1404
6-4727-010,Maui,2008,3.18,,,75,23.88888889,,31
8-4860-004,Hawaii,2008,1.07,,,75.2,24,65,114
2-1222-007,Kauai,2008,,,,74.3,23.5,,212
6-5118-003,Maui,2008,11.43,,,67.1,19.5,1800,1960
8-7153-001,Hawaii,2008,,,,75.5,24.16666667,,358
8-5745-004,Hawaii,2008,14.5,,,79.8,26.55555556,1200,1346
6-5118-004,Maui,2008,13.23,,,66.2,19,1694,1820
6-5518-006,Maui,2008,,,,71,21.66666667,361,405
6-4621-002,Maui,2008,6.31,,,70,21.11111111,1737,1815
6-5539-003,Maui,2008,5.03,,6,68.7,20.38888889,944,988
3-4100-006,Oahu,2008,18.74,,,68.8,20.44444444,52,98
8-7351-001,Hawaii,2008,105.23,,,69,20.55555556,972,1012
8-4860-003,Hawaii,2008,1.77,,,,,65,79
5-4954-003,Lanai,2008,1053.39,1053.26,1053.41,73.4,23,1849.55,1216.3
8-5058-007,Hawaii,2008,0.3,,,73.9,23.27777778,34,40
8-5552-003,Hawaii,2008,,,,,,,68
8-4262-001,Hawaii,2008,1,1,1,67,19.44444444,68.3,81
6-5619-001,Maui,2008,4,4,4,70,21.11111111,135,169
8-3701-001,Hawaii,2008,12.66,12.66,12.66,71,21.66666667,192.88,211
6-5228-022,Maui,2007,3.65,,,72.5,22.5,127,163
6-5517-007,Maui,2007,12.43,,,79,26.11111111,464,486
2-1121-003,Kauai,2007,3.3,,,73.5,23.05555556,283,380
2-1223-002,Kauai,2007,240.7,,,72.6,22.55555556,325,410
6-4720-001,Maui,2007,5.01,,,69,20.55555556,1596,1645
8-5547-001,Hawaii,2007,5.77,,,83.1,28.38888889,935,975
8-4959-023,Hawaii,2007,1.19,,,,,76,82
2-1121-004,Kauai,2007,,,,74.1,23.38888889,276,385
6-4926-002,Maui,2007,2.65,,,69,20.55555556,177,196
6-5631-007,Maui,2007,8.57,,,69,20.55555556,241,265
6-5129-004,Maui,2007,3.4,,,73.9,23.27777778,183,208
8-6331-002,Hawaii,2007,1324.91,,,65.5,18.61111111,2598,1700
6-4719-001,Maui,2007,5.61,,,68.5,20.27777778,2127,2180
2-1121-005,Kauai,2007,193.73,,,74.1,23.38888889,270,383
8-4158-003,Hawaii,2007,95.3,95.3,77.31,71,21.66666667,1672,1747
6-4527-016,Maui,2007,,,,71,21.66666667,8,45
6-4930-002,Maui,2007,5.27,,,71.8,22.11111111,338,365
6-4930-003,Maui,2007,6.78,,,71.5,21.94444444,340,375
6-4621-001,Maui,2007,5.19,,,70.3,21.27777778,1760,1832
6-4225-003,Maui,2007,3.15,,,67.4,19.66666667,573,604
6-4225-002,Maui,2007,2.22,,,69.9,21.05555556,545,581
4-0350-007,Molokai,2007,,,,69,20.55555556,,35
8-3802-008,Hawaii,2007,,,,62,16.66666667,,410
8-4161-004,Hawaii,2007,2.41,,,,,59.3,66.2
8-4262-002,Hawaii,2007,2.5,,,,,62.5,76.5
6-5413-014,Maui,2006,,,,69,20.55555556,,358
2-0521-010,Kauai,2006,,,,70,21.11111111,382,200
6-5240-009,Maui,2006,3.5,,,70,21.11111111,29,58
8-4656-001,Hawaii,2006,,,,68.2,20.11111111,1340,1400
8-3558-001,Hawaii,2006,3.7,,,70,21.11111111,120,141
8-4856-002,Hawaii,2006,,,,74.5,23.61111111,954,1006
6-5229-005,Maui,2006,4.35,,,72.8,22.66666667,179,220
6-5229-004,Maui,2006,5.65,,,72.4,22.44444444,,210
6-5229-006,Maui,2006,4.5,,,72.5,22.5,,223
6-4225-001,Maui,2006,0.29,,,68.9,20.5,763,802
8-5007-001,Hawaii,2006,21.62,21.62,21.62,65,18.33333333,832.5,873.17
6-4300-003,Maui,2006,8.16,,9,69,20.55555556,351,402
8-6047-005,Hawaii,2006,,,,80.1,26.72222222,731,765
8-6853-003,Hawaii,2006,,,,,,,216
8-6853-004,Hawaii,2006,,,,82.9,28.27777778,238,255
6-5424-012,Maui,2006,,,,73.2,22.88888889,,34
8-6852-001,Hawaii,2006,,,,74,23.33333333,,348
8-7350-001,Hawaii,2006,6.01,,,68.1,20.05555556,800,860
6-5631-008,Maui,2006,,,,72.3,22.38888889,171,185
6-4226-019,Maui,2006,,,,,,,135
8-7350-002,Hawaii,2006,7.36,,,68.7,20.38888889,801,889
2-0419-005,Kauai,2006,,,,,,,260
2-0222-002,Kauai,2006,304.01,,,76.64,24.8,500,1180
2-1121-002,Kauai,2006,4.82,,,74.4,23.55555556,288,400
3-1705-001,Oahu,2006,,,,78.8,26,,120
3-1906-012,Oahu,2006,,,,62.2,16.77777778,,1303
6-5318-001,Maui,2006,,,,,,1161,1196
